0.0,0.6,0.1,0.9998,-0.0008,0.0006,3
0.2,0.7,-0.2,0.9998,-0.0006,0.0005,3
0.4,0.9,-0.3,0.9998,-0.0004,0.0004,3
0.4,0.9,-0.3,0.9998,-0.0002,0.0003,3
0.5,1.0,-0.3,0.9998,-0.0000,0.0003,3
0.2,1.1,-0.1,0.9998,0.0002,0.0003,3
0.1,1.2,0.1,0.9998,0.0004,0.0003,3
-0.1,1.1,0.1,0.9998,0.0006,0.0003,3
-0.2,0.8,0.0,0.9998,0.0008,0.0003,3
-0.2,0.1,0.1,0.9998,0.0008,0.0005,3
-0.1,-0.0,0.1,0.9998,0.0008,0.0007,3
0.1,-0.0,-0.1,0.9998,0.0007,0.0005,3
0.1,-0.0,-0.2,0.9998,0.0007,0.0003,3
0.0,0.0,-0.1,0.9998,0.0009,0.0002,3
-0.0,0.0,0.1,0.9998,0.0011,0.0003,3
-0.1,0.0,-0.0,0.9998,0.0011,0.0005,3
-0.1,-0.0,0.0,0.9998,0.0011,0.0007,3
-0.1,0.1,0.0,0.9998,0.0012,0.0009,3
-0.0,0.0,-0.1,0.9998,0.0013,0.0010,3
0.1,0.0,-0.0,0.9998,0.0013,0.0008,3
